,,6275,"*",6325,"*"
1,"PPM 91184",221,4,221,4
2,"PPM 148916",504,4,504,4
3,"PPM 94361",516,4,516,4
4,"PPM 127140",648,4,648,4
5,"PPM 53742",397,4,397,4
6,"PPM 81558",237,3,237,3
7,"PPM 168779",133,3,133,3
8,"PPM 142158",248,4,248,4
,,,,,
1,"BS 15",359,4,351,4
2,"BS 21",341,4,337,4
3,"BS 45",443,5,529,5
4,"BS 46",301,5,388,5
5,"BS 63",361,5,353,5
6,"BS 68",391,5,381,5
7,"BS 103",344,5,505,5
8,"BS 117",191,5,214,5
9,"BS 123",294,5,286,5
10,"BS 142",258,5,256,5
11,"BS 153",732,4,709,4
12,"BS 154",421,5,412,5
13,"BS 163",643,5,640,5
14,"BS 168",452,4,462,4
15,"BS 179",274,5,264,5
16,"BS 211",221,5,291,5
17,"BS 219",128,4,127,4
18,"BS 223",253,5,246,5
19,"BS 226",334,5,325,5
20,"BS 248",564,5,621,5
21,"BS 259",121,5,157,5
22,"BS 265",460,5,448,5
23,"BS 269",696,5,682,5
24,"BS 271",550,5,562,5
25,"BS 294",667,5,662,5
26,"BS 317",129,5,126,5
27,"BS 328",143,5,139,5
28,"BS 335",487,5,475,5
29,"BS 337",590,4,675,4
30,"BS 343",466,5,455,5
31,"BS 352",570,5,564,5
32,"BS 360",443,5,435,5
33,"BS 378",214,5,209,5
34,"BS 383",309,5,300,5
35,"BS 402",119,4,117,4
36,"BS 403",211,4,207,4
37,"BS 424",506,4,498,4
38,"BS 437",126,4,125,4
39,"BS 450",156,5,188,5
40,"BS 458",645,5,637,5
41,"BS 510",640,5,667,5
42,"BS 531",371,5,368,5
43,"BS 544",118,4,115,4
44,"BS 545/6",670,5,652,5
45,"BS 549",457,5,459,5
46,"BS 553",224,4,218,4
47,"BS 575",405,5,397,5
48,"BS 580",638,5,620,5
49,"BS 595/6",682,5,666,5
50,"BS 601",136,5,173,5
51,"BS 617",614,4,615,4
52,"BS 620",313,5,305,5
53,"BS 622",169,4,164,4
54,"BS 631",174,5,240,5
55,"BS 650",159,5,159,5
56,"BS 664",598,5,585,5
57,"BS 689",251,5,317,5
58,"BS 707",410,5,402,5
59,"BS 708",261,5,253,5
60,"BS 799",751,5,747,5
61,"BS 804",986,5,967,5
62,"BS 813",529,5,519,5
63,"BS 838",881,5,859,5
64,"BS 840",580,5,570,5
65,"BS 847",140,5,137,5
66,"BS 854",831,5,821,5
67,"BS 867",153,5,217,5
68,"BS 877",125,5,149,5
69,"BS 879",325,5,315,5
70,"BS 887/8",360,5,350,5
71,"BS 911",342,4,421,4
72,"BS 915",239,4,235,4
73,"BS 921",153,4,211,4
74,"BS 937",784,5,832,5
75,"BS 938",742,6,723,6
76,"BS 951",675,5,670,5
77,"BS 984",322,5,317,5
78,"BS 987",204,5,201,5
79,"BS 989",242,5,235,5
80,"BS 999",726,5,776,5
81,"BS 1017",617,4,608,4
82,"BS 1030",123,4,123,4
83,"BS 1038",744,5,730,5
84,"BS 1040",481,5,481,5
85,"BS 1101",600,5,595,5
86,"BS 1122",151,4,147,4
87,"BS 1135",912,5,897,5
88,"BS 1136",132,4,134,4
89,"BS 1148",351,5,345,5
90,"BS 1155",710,5,874,5
91,"BS 1162",682,5,767,5
92,"BS 1231",259,4,298,4
93,"BS 1244",166,5,161,5
94,"BS 1251",648,5,634,5
95,"BS 1256",605,5,582,5
96,"BS 1261",485,5,472,5
97,"BS 1289",148,5,145,5
98,"BS 1298",627,5,616,5
99,"BS 1303",766,5,761,5
100,"BS 1320",425,5,415,5
101,"BS 1324",352,5,344,5
102,"BS 1346",121,4,122,4
103,"BS 1378",761,6,748,6
104,"BS 1380",294,5,290,5
105,"BS 1381",214,5,211,5
106,"BS 1387",543,5,535,5
107,"BS 1388",185,5,183,5
108,"BS 1389",492,5,482,5
109,"BS 1392",538,5,529,5
110,"BS 1394",399,5,393,5
111,"BS 1392",132,5,130,5
112,"BS 1411",101,4,101,4
113,"BS 1412",113,4,111,4
114,"BS 1444",341,5,336,5
115,"BS 1451",332,5,410,5
116,"BS 1458",471,5,465,5
117,"BS 1473",461,5,450,5
118,"BS 1479",327,5,322,5
119,"BS 1497",443,5,437,5
120,"BS 1543",152,4,151,4
121,"BS 1544",458,5,449,5
122,"BS 1552",778,5,765,5
123,"BS 1560",488,5,480,5
124,"BS 1567",764,5,749,5
125,"BS 1568",405,5,395,5
126,"BS 1570",357,5,351,5
127,"BS 1603",811,5,817,5
128,"BS 1607",144,5,229,5
129,"BS 1611",307,5,302,5
130,"BS 1620",370,5,364,5
131,"BS 1638",277,5,268,5
132,"BS 1643",153,5,149,5
133,"BS 1659",148,5,144,5
134,"BS 1666",203,4,198,4
135,"BS 1702",101,4,996,5
136,"BS 1705",389,5,379,5
137,"BS 1708",342,3,335,3
