,,6275,"*",6325,"*"
1,15,359,4,351,4
2,21,341,4,337,4
3,45,443,5,529,5
4,46,301,5,388,5
5,63,361,5,353,5
6,68,391,5,381,5
7,103,344,5,505,5
8,117,191,5,214,5
9,123,294,5,286,5
10,142,258,5,256,5
11,153,732,4,709,4
12,154,421,5,412,5
13,163,643,5,640,5
14,168,452,4,462,4
15,179,274,5,264,5
16,211,221,5,291,5
17,219,128,4,127,4
18,223,253,5,246,5
19,226,334,5,325,5
20,248,564,5,621,5
21,259,121,5,157,5
22,265,460,5,448,5
23,269,696,5,682,5
24,271,550,5,562,5
25,294,667,5,662,5
26,317,129,5,126,5
27,328,143,5,139,5
28,335,487,5,475,5
29,337,590,4,675,4
30,343,466,5,455,5
31,352,570,5,564,5
32,360,443,5,435,5
33,378,214,5,209,5
34,383,309,5,300,5
35,402,119,4,117,4
36,403,211,4,207,4
37,424,506,4,498,4
38,437,126,4,125,4
39,450,156,5,188,5
40,458,645,5,637,5
41,510,640,5,667,5
42,531,371,5,368,5
43,544,118,4,115,4
44,545,670,5,652,5
45,549,457,5,459,5
46,553,224,4,218,4
47,575,405,5,397,5
48,580,638,5,620,5
49,595,682,5,666,5
50,601,136,5,173,5
51,617,614,4,615,4
52,620,313,5,305,5
53,622,169,4,164,4
54,631,174,5,240,5
55,650,159,5,159,5
56,664,598,5,585,5
57,689,251,5,317,5
58,707,410,5,402,5
59,708,261,5,253,5
60,799,751,5,747,5
61,804,986,5,967,5
62,813,529,5,519,5
63,838,881,5,859,5
64,840,580,5,570,5
65,847,140,5,137,5
66,854,831,5,821,5
67,867,153,5,217,5
68,877,125,5,149,5
69,879,325,5,315,5
70,887,360,5,350,5
71,911,342,4,421,4
72,915,239,4,235,4
73,921,153,4,211,4
74,937,784,5,832,5
75,938,742,6,723,6
76,951,675,5,670,5
77,984,322,5,317,5
78,987,204,5,201,5
79,989,242,5,235,5
80,999,726,5,776,5
81,1017,617,4,608,4
82,1030,123,4,123,4
83,1038,744,5,730,5
84,1040,481,5,481,5
85,1101,600,5,595,5
86,1122,151,4,147,4
87,1135,912,5,897,5
88,1136,132,4,134,4
89,1148,351,5,345,5
90,1155,710,5,874,5
91,1162,682,5,767,5
92,1231,259,4,298,4
93,1244,166,5,161,5
94,1251,648,5,634,5
95,1256,605,5,582,5
96,1261,485,5,472,5
97,1289,148,5,145,5
98,1298,627,5,616,5
99,1303,766,5,761,5
100,1320,425,5,415,5
101,1324,352,5,344,5
102,1346,121,4,122,4
103,1378,761,6,748,6
104,1380,294,5,290,5
105,1381,214,5,211,5
106,1387,543,5,535,5
107,1388,185,5,183,5
108,1389,492,5,482,5
109,1392,538,5,529,5
110,1394,399,5,393,5
111,1392,132,5,130,5
112,1411,101,4,101,4
113,1412,113,4,111,4
114,1444,341,5,336,5
115,1451,332,5,410,5
116,1458,471,5,465,5
117,1473,461,5,450,5
118,1479,327,5,322,5
119,1497,443,5,437,5
120,1543,152,4,151,4
121,1544,458,5,449,5
122,1552,778,5,765,5
123,1560,488,5,480,5
124,1567,764,5,749,5
125,1568,405,5,395,5
126,1570,357,5,351,5
127,1603,811,5,817,5
128,1607,144,5,229,5
129,1611,307,5,302,5
130,1620,370,5,364,5
131,1638,277,5,268,5
132,1643,153,5,149,5
133,1659,148,5,144,5
134,1666,203,4,198,4
135,1702,101,4,996,5
136,1705,389,5,379,5
137,1708,342,3,335,3
138,1713,221,3,216,3
139,1751,194,5,191,5
140,1768,616,6,607,6
141,1788,101,4,983,5
142,1702,512,4,498,4
143,1791,521,4,510,4
144,1798,712,6,691,6
145,1814,145,5,141,5
146,1821,147,5,144,5
147,1855,311,5,300,5
148,1865,232,4,228,4
149,1875,147,5,144,5
150,1876,413,5,404,5
151,1879,101,4,990,5
152,1903,500,4,488,4
153,1907,832,5,851,5
154,1928,176,5,172,5
155,1931,673,5,650,5
156,1976,255,5,249,5
157,1995,525,5,519,5
158,1998,873,5,853,5
159,2004,341,4,335,4
160,2012,988,5,995,5
161,2034,336,5,329,5
162,2061,261,3,338,3
163,2077,117,4,117,4
164,2085,866,5,850,5
165,2088,440,5,434,5
166,2091,728,4,905,5
167,2095,218,5,218,5
168,2108,230,4,225,4
169,2124,599,5,594,5
170,2159,386,5,378,5
171,2199,391,5,382,5
172,2209,293,5,286,5
173,2216,182,4,242,4
174,2219,606,5,608,5
175,2238,372,5,363,5
176,2269,176,5,203,5
177,2286,213,4,301,4
178,2298,489,5,480,5
179,2356,668,5,654,5
180,2375,202,5,199,5
181,2385,387,5,381,5
182,2421,424,4,415,4
183,2456,316,5,308,5
184,2458,111,5,131,5
185,2473,253,4,259,4
186,2484,140,4,138,4
187,2491,856,3,831,3
188,2506,384,5,586,5
189,2511,205,5,201,5
190,2540,902,5,885,5
191,2560,582,5,599,5
192,2631,146,5,170,5
193,2648,216,5,210,5
194,2657,494,5,481,5
195,2663,161,5,175,5
196,2678,169,5,166,5
197,2714,501,5,487,5
198,2725,145,5,168,5
199,2738,149,5,173,5
200,2747,135,5,174,5
201,2763,914,5,895,5
202,2777,110,4,108,4
203,2795,282,5,335,5
204,2845,166,4,162,4
205,2852,549,5,543,5
206,2864,521,5,533,5
207,2890,583,4,573,4
208,2905,84,4,97,4
209,2935,160,5,182,5
210,2938,324,5,364,5
211,2943,216,3,214,3
212,2985,131,4,130,4
213,2990,128,3,128,3
214,2999,261,5,307,5
215,3013,276,5,321,5
216,3015,264,5,260,5
217,3086,162,5,159,5
218,3169,116,5,149,5
219,3188,591,5,597,5
220,3268,934,6,912,6
221,3314,615,5,603,5
222,3319,171,5,224,5
