# 14/08/26 UT Time, Reflection height [km], Lower bound of interaction region [km], Upper bound of interaction region [km]
2014-08-26T18:00:00, 254.777, 249.224, 252.848
2014-08-26T18:01:00, 256.29, 250.491, 254.178
2014-08-26T18:02:00, 257.719, 252.13, 255.9
2014-08-26T18:03:00, 254.635, 249.023, 252.606
2014-08-26T18:04:00, 259.724, 254.17, 258.047
2014-08-26T18:05:00, 260.026, 254.388, 258.265
2014-08-26T18:06:00, 259.508, 253.795, 257.621
2014-08-26T18:07:00, 256.646, 251.148, 254.81
2014-08-26T18:08:00, 257.443, 251.801, 255.488
2014-08-26T18:09:00, 257.831, 252.457, 256.17
2014-08-26T18:10:00, 259.577, 254.026, 257.827
2014-08-26T18:11:00, 259.542, 253.987, 257.773
2014-08-26T18:12:00, 259.426, 253.871, 257.637
2014-08-26T18:13:00, 271.478, 265.516, 270.182
2014-08-26T18:14:00, 264.517, 258.909, 262.989
2014-08-26T18:15:00, 261.295, 255.784, 259.637
2014-08-26T18:16:00, 263.987, 258.526, 262.558
2014-08-26T18:17:00, 262.695, 257.356, 261.296
2014-08-26T18:18:00, 264.717, 259.371, 263.44
2014-08-26T18:19:00, 261.472, 255.967, 259.798
2014-08-26T18:20:00, 263.481, 257.943, 261.893
2014-08-26T18:21:00, 262.64, 257.293, 261.187
2014-08-26T18:22:00, 261.529, 256.077, 259.886
2014-08-26T18:23:00, 262.617, 257.25, 261.122
2014-08-26T18:24:00, 264.502, 258.987, 262.965
2014-08-26T18:25:00, 262.593, 257.206, 261.059
2014-08-26T18:26:00, 264.032, 258.664, 262.602
2014-08-26T18:27:00, 262.596, 257.237, 261.068
2014-08-26T18:28:00, 266.356, 260.793, 264.864
2014-08-26T18:29:00, 264.854, 259.557, 263.527
2014-08-26T18:30:00, 264.573, 259.162, 263.091
2014-08-26T18:31:00, 268.159, 262.621, 266.8
2014-08-26T18:32:00, 265.398, 259.91, 263.875
2014-08-26T18:33:00, 267.186, 261.708, 265.789
2014-08-26T18:34:00, 266.621, 261.261, 265.305
2014-08-26T18:35:00, 267.003, 261.635, 265.695
2014-08-26T18:36:00, 267.247, 261.775, 265.831
2014-08-26T18:37:00, 266.067, 260.742, 264.717
2014-08-26T18:38:00, 267.153, 261.749, 265.785
2014-08-26T18:39:00, 266.611, 261.293, 265.284
2014-08-26T18:40:00, 268.543, 263.082, 267.2
2014-08-26T18:41:00, 267.485, 262.049, 266.076
2014-08-26T18:42:00, 269.444, 263.933, 268.091
2014-08-26T18:43:00, 267.612, 262.3, 266.328
2014-08-26T18:44:00, 266.452, 261.077, 265.005
2014-08-26T18:45:00, 269.457, 263.984, 268.114
2014-08-26T18:46:00, 269.18, 263.765, 267.873
2014-08-26T18:47:00, 272.029, 266.562, 270.886
2014-08-26T18:48:00, 269.065, 263.752, 267.834
2014-08-26T18:49:00, 271.386, 265.854, 270.098
2014-08-26T18:50:00, 270.667, 265.395, 269.589
2014-08-26T18:51:00, 270.764, 265.529, 269.72
2014-08-26T18:52:00, 271.591, 266.187, 270.428
2014-08-26T18:53:00, 268.636, 263.452, 267.464
2014-08-26T18:54:00, 272.528, 267.054, 271.342
2014-08-26T18:55:00, 275.319, 269.634, 274.151
2014-08-26T18:56:00, 274.402, 268.8, 273.224
2014-08-26T18:57:00, 276.257, 270.551, 275.13
2014-08-26T18:58:00, 271.382, 265.964, 270.123
2014-08-26T18:59:00, 271.126, 265.806, 269.94
2014-08-26T19:00:00, 273.629, 268.32, 272.653
2014-08-26T19:01:00, 272.685, 267.473, 271.726
2014-08-26T19:02:00, 275.582, 270.086, 274.564
2014-08-26T19:03:00, 275.451, 269.895, 274.34
2014-08-26T19:04:00, 276.191, 270.603, 275.108
2014-08-26T19:05:00, 276.338, 270.731, 275.234
2014-08-26T19:06:00, 277.652, 272.18, 276.816
2014-08-26T19:07:00, 277.195, 271.576, 276.143
2014-08-26T19:08:00, 277.579, 272.034, 276.634
2014-08-26T19:09:00, 280.422, 274.579, 279.444
2014-08-26T19:10:00, 279.583, 273.932, 278.714
2014-08-26T19:11:00, 280.532, 274.765, 279.629
2014-08-26T19:12:00, 279.177, 273.49, 278.191
2014-08-26T19:13:00, 281.05, 275.255, 280.151
2014-08-26T19:14:00, 281.893, 276.109, 281.093
2014-08-26T19:15:00, 280.74, 275.143, 279.992
2014-08-26T19:16:00, 282.531, 276.665, 281.695
2014-08-26T19:17:00, 282.579, 276.788, 281.815
