# 16/08/29 UT Time, Reflection height [km], Upper hybrid resonance height [km]
2016-08-29T17:30:00, 236.13016239951054, 231.61795295698587
2016-08-29T17:36:00, 243.92662035448652, 239.02913557385497
2016-08-29T17:42:00, 245.398519000441, 240.51579712132485
2016-08-29T17:48:00, 246.8818311369484, 242.0110963983823
2016-08-29T17:54:00, 248.3743779130505, 243.51796569076
2016-08-29T18:00:00, 249.873755561075, 245.03103874235092
2016-08-29T18:07:00, 251.52951361657753, 246.6995048100906
2016-08-29T18:12:00, 258.302762710181, 253.0786465652172
2016-08-29T18:18:00, 266.11633303101297, 260.3246596122535
2016-08-29T18:24:00, 267.5904385953765, 261.8109947170608
2016-08-29T18:30:00, 270.4539312381425, 264.6769246343238
2016-08-29T18:36:00, 274.3492516382798, 268.3106569758895
2016-08-29T18:42:00, 275.78608620219694, 269.76130398408696
2016-08-29T18:48:00, 277.21031476860634, 271.19667610853406
2016-08-29T18:54:00, 281.2326463306256, 274.9051323468668
2016-08-29T19:00:00, 282.61166398545373, 276.29753574845034
2016-08-29T19:07:00, 284.1000677672311, 277.7970865950361
2016-08-29T19:12:00, 288.13596735885545, 281.4418916274377
2016-08-29T19:18:00, 292.5691773194472, 285.3775456533708
2016-08-29T19:24:00, 293.824564022315, 286.6403394885147
2016-08-29T19:30:00, 298.5806548811512, 290.73128759774534
2016-08-29T19:36:00, 308.9296973461303, 298.6373980083258
2016-08-29T19:42:00, nan, 308.94243465160474
2016-08-29T19:48:00, nan, 310.0292606537779
2016-08-29T19:54:00, nan, 318.0818061966873
2016-08-29T20:00:00, nan, 319.0818061966873
2016-08-29T20:07:00, nan, 320.11854125042765
2016-08-29T20:12:00, nan, 320.9210238834125
2016-08-29T20:18:00, nan, nan
2016-08-29T20:24:00, nan, nan
